coordinates,1,2,3,4,5,6,7,8,9,10
1,0.0884956,0.102041,0.117647,0.135135,0.153846,0.172414,0.188679,0.2,0.204082,0.2
2,0.1,0.117647,0.138889,0.163934,0.192308,0.222222,0.25,0.27027,0.277778,0.27027
3,0.11236,0.135135,0.163934,0.2,0.243902,0.294118,0.344828,0.384615,0.4,0.384615
4,0.125,0.153846,0.192308,0.243902,0.3125,0.4,0.5,0.588235,0.625,0.588235
5,0.136986,0.172414,0.222222,0.294118,0.4,0.555556,0.769231,1,1.11111,1
6,0.147059,0.188679,0.25,0.344828,0.5,0.769231,1.25,2,2.5,2
7,0.153846,0.2,0.27027,0.384615,0.588235,1,2,5,10,5
8,0.15625,0.204082,0.277778,0.4,0.625,1.11111,2.5,10,2000,10
9,0.153846,0.2,0.27027,0.384615,0.588235,1,2,5,10,5
10,0.147059,0.188679,0.25,0.344828,0.5,0.769231,1.25,2,2.5,2
